Name,Coordinates
Ad Fluvium Angitulam,"38.763869,16.200639"
Ad Fluvium Bradanum,"40.816934,15.810676"
Ad Fluvium Lanaricum,"37.624706,12.794926"
Ad Fluvium Sabutum,"39.090504,16.271456"
Ad Fonteclos,"44.956105,9.865474"
Ad Fontem Felicem,"41.832999,43.377448"
Ad Fornulos,"45.890011,13.713064"
Ad Fratres,"35.101893,-1.858203"
Ad Fusciana,"43.321667,17.361944"
Ad Gallinacium,"36.905461,10.096435"
Ad Gallinas Albas,"42.001807,12.492049"
Ad Gallum,"36.905461,10.096435"
Ad Gemellas,"37.267334,-4.540411"
Ad Herculem,"36.351621,-6.163431"
Ad Herculem,"40.781624,8.662883"
Ad Herculem,"43.1776655,21.744698"
Ad Horrea,"43.549999,6.956062"
Ad Idicem,"44.45827,11.430301"
Ad Iovem,"43.604874,1.276984"
Ad Iuvense,"48.167004,14.7162245"
Ad IX,"45.356918,9.322956"
Ad IX,"45.495449,12.266922"
Ad Labores,"45.540045,18.769761"
Ad Labores Pontis Ulcae,"45.422056,18.856212"
Ad Ladios,"44.843222,17.255353"
Ad Laminas,"42.0418315,12.949979"
Ad Lamnas,"42.0418315,12.949979"
Ad Latus,"46.319196,18.763666"
Ad Leones,"38.277578,-0.533052"
Ad Letoce,"44.281647,4.765954"
Ad Libros,"43.616611,17.072435"
Ad Lippos,"40.561181,-5.530274"
Ad Lotodos,"46.363327,15.364373"
Ad Lucos,"38.02053,-4.403644"
Ad Lullia,"50.33182,1.875599"
Ad Lunam,"48.5498879477,9.90065602276"
Ad Maiores,"34.4230007,7.5234274"
Ad Mallias,"38.310645,15.829655"
Ad Malum,"43.993221,22.8759"
Ad Malum,"45.580328,13.996584"
Ad Martis,"45.03323,6.833543"
Ad Matricem,"43.978973,17.308756"
Ad Mauros,"48.312645,14.028479"
Ad Medera,"33.586594,36.410097"
Ad Mediam,"44.8785595,22.414414"
Ad Medias,"34.5,7.5"
Ad Medias,"40.5,8.5"
Ad Medias,"41.25,13.25"
Ad Medias,"44.75,11.25"
Ad Medias,"45.18293,8.479819"
Ad Medias,"46.262736,15.099168"
Ad Mercuri,"35.508424,-5.839493"
Ad Mercurium,"36.433266,10.650043"
Ad Mercurium,"36.75,10.25"
Ad Mercurium,"41.752369,42.784391"
Ad Militare,"45.8526195,18.8506065"
Ad Molas,"36.117651,7.886012"
Ad Monilia,"44.238283,9.491255"
Ad Morum,"37.691955,-2.051097"
Ad Morum,"38.184699,-3.315366"
Ad Munilia,"44.238283,9.491255"
Ad Mures,"47.710616,18.015417"
Ad Murum,"39.181617,-3.360099"
Ad Mutrium,"44.493419,23.3151195"
Ad Navalia,"44.390314,8.643922"
Ad Ningum,"45.336496,13.828551"
Ad Nonum,"33.25,35.25"
Ad Nonum,"41.875,12.625"
Ad Nonum,"41.875,12.625"
Ad Nonum,"43.524778,1.549961"
Ad Nonum,"44.5,21.5"
Ad Nonum,"46.010943,14.368555"
Ad Novas,"35.25,-5.75"
Ad Novas,"40.5,19.5"
Ad Novas,"41.028493,14.465967"
Ad Novas,"41.5,0.5"
Ad Novas,"42.21133,12.81423"
Ad Novas,"44.25,12.25"
Ad Novas,"45.5,18.5"
Ad Novas,"48.5,10.5"
Ad Novlas,"38.004981,-3.919521"
Ad Novlas,"39.967525,-0.120125"
Ad Octavum,"40.5,8.5"
Ad Octavum,"41.25,14.25"
Ad Octavum,"43.760033,12.958545"
Ad Octavum,"44.042641,21.313576"
Ad Oleastrum,"34.411413,10.256696"
Ad Olivam,"37.872495,12.821994"
Ad Orontem,"36.078089,35.9862355"
Ad Padum,"45.088302,9.5972"
Ad Palatium,"45.757783,11.000245"
Ad Palem,"38.746037,-1.230685"
Ad Palmam,"30.933297,17.749989"
Ad Palmam,"32.649407,14.131477"
Ad Pannonios,"45.1592945,22.2951325"
Ad Pertusa,"36.781395,10.115375"
Ad Picaria,"42.049915,19.899973"
Ad Picarias,"42.049915,19.899973"
Ad Pictas,"41.750203,12.860163"
Ad Pirum,"41.120939,15.496286"
Ad Pirum,"45.863611,14.111667"
Ad Piscinam,"34.821914,5.828633"
ad Pons Singae,"37.429194,38.150487"
Ad Ponte Ises,"48.146408,15.050087"
Ad ponte iulii,"41.9357005,12.4668685"
Ad Pontem,"33.5,10.5"
Ad Pontem,"36.5,-6.5"
Ad Pontem,"47.158422,14.398606"
Ad Pontem,"53.5,-0.5"
Ad Pontem Ises,"48.146408,15.050087"
Ad portu,"45.420331,12.14042"
Ad Portum,"36.25,5.75"
Ad Portum,"36.5,-6.5"
Ad Portum,"45.420331,12.14042"
Ad Praetorium,"45.202118,16.825678"
Ad Publicanos,"45.667169,6.386756"
Ad Publicanos,"46.167016,14.686021"
Ad Putea,"39.356508,-1.71902"
Ad Putea,"43.527591,24.630614"
Ad Puteum,"30.317862,19.667441"
Ad Pyrenaeum,"42.468926,2.866662"
Ad Quartodecimum,"46.151108,14.562912"
Ad Quartum,"40.877822,14.140293"
Ad Quintanas,"41.8374815,12.7555615"
Ad Quintum,"41.099984,20.016667"
Ad Quintumdecimum,"41.196392,16.31977"
Ad Radices,"42.831151,24.6939"
Ad Rhenum,"47.466764,9.589648"
Ad Rota,"45.169874,9.57987"
Ad Rotas,"41.530307,14.170478"
Ad Rotas,"45.169874,9.57987"
Ad Rubiconem,"44.154621,12.41986"
Ad Rubras,"36.092899,7.157147"
Ad Rubras,"37.271136,-7.021606"
Ad Sanos,"45.714942,12.675577"
Ad Sava Municipium,"36.325495,5.066483"
Ad Scorfulas,"44.604121,21.982677"
Ad Scrofulas,"44.604121,21.982677"
Ad Septem Aras,"39.030986,-7.161004"
Ad Septimum,"40.984028,14.191132"
Ad Septimum Decimum,"41.336206,1.176063"
Ad Serta,"36.874199,37.586975"
Ad Sextum,"41.875,12.375"
Ad Sextum,"43.64785,0.733189"
Ad Sextum,"44.766704,20.533337"
Ad Sextum Miliarem,"44.669976,20.717212"
Ad Silanos,"46.237294,13.153857"
"Ad Silanum, Adsilanum","44.614196,3.036101"
Ad Silarum,"40.549696,15.051421"
Ad Silarum,"44.400126,11.57935"
Ad Sinnium,"44.30805,11.81816"
Ad Solaria,"43.829747,11.116262"
Ad Solaria,"44.317059,9.320172"
Ad Sorores,"39.224644,-6.329776"
Ad Speculum,"34.319663,7.938386"
Ad Speluncas,"31.149939,17.033309"
Ad Speluncas,"40.756506,17.703709"
Ad Sponsas,"41.6129375,12.806496"
Ad Stabulum,"42.612591,2.845924"
Ad Statuas,"38.5,-0.5"
Ad Statuas,"41.25,28.25"
Ad Statuas,"41.875,12.875"
Ad Statuas,"43.25,11.75"
Ad Statuas,"46.248772,18.686978"
Ad Statuas,"47.5,17.5"
Ad Stoma,"45.022631,29.208646"
Ad Symmachi,"35.233353,6.166658"
Ad Tanagrum,"40.571326,15.395132"
Ad Tanarum,"40.571326,15.395132"
Ad Tarum,"44.830006,10.211566"
Ad Teglanum,"40.86594,14.549705"
Ad Templum,"33.583387,9.016781"
Ad Titulos,"45.481151,14.251372"
Ad Tricensimum,"46.15763,13.216109"
Ad Tricesimum,"46.15763,13.216109"
Ad Turnonem,"45.643235,6.317687"
Ad Turrem,"30.779987,17.830009"
Ad Turrem,"43.407853,5.923999"
Ad Turres,"34.385469,7.939282"
Ad Turres,"38.640168,-3.362121"
Ad Turres,"38.781093,-0.92493"
Ad Turres,"38.928249,16.269759"
Ad Turres,"41.252486,13.099955"
Ad Turres,"41.936088,12.1553995"
Ad Turres,"43.113334,17.719999"
Ad Turres,"45.174936,14.689261"
Ad Turres Albas,"41.386204,12.923377"
Ad Turrim Libysonis,"40.834568,8.410012"
Ad Tygrem,"37.9122455,40.2334445"
Ad Undecimum,"41.261625,15.861909"
Ad Undecimum 1,"45.833489,13.215652"
Ad Undecimum 2,"45.895518,13.49563"
Ad Vicesimum,"39.9391495,16.606119"
Ad Vicesimum,"42.1477905,12.487634"
Ad Vicesimum,"42.5,2.5"
Ad Vicesimum,"43.433758,1.668689"
Ad Vicesimum,"46.581688,16.162566"
Ad VII,"45.54579,5.020005"
Ad VIII,"45.076064,7.507533"
Ad VIII,"45.555218,5.037314"
Ad Vincesimum,"40.810026,39.617574"
Ad X,"45.177939,7.828594"
Ad X,"45.317925,9.139131"
Ad XII,"45.134977,7.214525"
Ad XII,"45.413458,12.102889"
Ad XII,"45.56982,5.096247"
Ad Zizio,"42.776686,18.387915"
Ad Zociandem,"37.009788,37.788277"
Adīnapūr,"32.5,72.5"
Adada,"34.900877,38.882857"
Adada,"37.578989,30.9831305"
Adamas,"22.5,87.5"
Adana,"13.958528,43.987875"
Adana,"35.727837,36.672525"
Adana,"36.986559,35.338677"
Adane,"12.771651,45.038928"
Adara,"31.205721,35.761209"
Adarin,"33.74192635,36.58421935"
Adatha,"37.705104,37.4258015"
Adcephalon,"41.749742,21.771375"
Adeba,"40.471026,0.474684"
Adedou Kome,"14.798024,42.948026"
Adeitha,"32.157479,36.164595"
Adiabene,"35.5,43.5"
Adienos,"41.5,40.5"
Adipte,"37.846069,40.722711"
Adisathron,"17.5,72.5"
Adisdara,"29.381476,79.111003"
Aditha,"31.967821,34.950537"
Admatha,"30.1987385,35.750773"
Admatha,"32.684043,35.665625"
Adollam,"31.657354,34.999242"
Adora,"31.506582,35.027257"
Adouli,"15.214121,39.822585"
Adoulitikos Kolpos,"17.5,37.5"
Adramiton Chora,"17.5,47.5"
Adramyta,"17.5,47.5"
Adramyttenos,"39.25,26.75"
Adramyttium,"39.5023635,26.936321"
Adranon,"37.662847,14.835642"
Adranon,"37.676778,13.142693"
Adrasos,"36.655564,33.129851"
Adrasteia,"40.25,27.75"
Adrasteia,"40.383655,27.191289"
Adrestae,"32.5,72.5"
Adri,"32.5,72.5"
Adria,"45.0577,12.056195"
Adrianoupolis,"39.9952771714,20.2226798347"
Adrianoupolis,"41.676459,26.562891"
"Adrianouthērai, Adrianoutherai","39.60672,27.910653"
Adron,"54.5,-1.5"
Adros,"53.5,-6.5"
Adrou,"30.332089,35.595901"
Adrus,"38.5,-7.5"
Aduatuci,"50.5,4.5"
Adule,"15.214121,39.822585"
Adur Gushnasp,"36.604075,47.2349205"
Adurbadagan,"38.24647,48.295051"
Adyrmachidai,"31.5,26.5"
Aeantion,"39.75,26.25"
Aecae,"41.361189,15.308894"
Aeclanum,"41.0491095,15.00342455"
Aeculani,"41.0491095,15.00342455"
Aeculanum,"41.054335664,15.0105394895"
aedes Capitolina ,"41.892222,12.481667"
Aedes divi Iulii,"41.8920318785,12.4860142753"
aedes Pacis,"41.8926456873,12.4873335292"
Aedesa,"36.75,29.75"
Aedis Iovis Optimi Maximi Capitolini,"41.892222,12.481667"
Aedonia,"32.5,23.5"
Aedui,"46.7677671005,4.26467208568"
Aefula,"41.929827,12.821808"
Aegae,"38.83379,27.19367"
Aegates,"37.75,12.25"
Aegea,"39.816333,40.243562"
Aegesta,"37.940316,12.8361805"
Aegida,"45.55341,13.764656"
Aegusa,"37.9310758,12.3286129"
Aegyptium Mare,"31.75,30.75"
Aegyssus,"45.17978,28.806361"
Aelana,"29.6636335,34.9744445"
Aelia Augusta,"48.365463,10.894765"
Aelia Capitolina,"31.776679,35.234156"
Aelia Uluzibbira,"35.958576,10.441026"
Aeliae,"35.4232,10.437678"
Aemate,"44.649785,17.033264"
Aematini,"44.649785,17.033264"
Aemilia,"44.75,11.25"
Aemines,"43.211683,5.423109"
Aeminium,"40.2095455,-8.427646"
Aenon,"32.388639,35.531839"
Aenona,"44.2435845,15.1847195"
Aenos,"33.1856996,36.4824165"
Aeolis,"39.25,26.75"
Aeolium Pr.,"40.25,26.25"
Aepolium,"45.845873,30.189972"
Aequana,"40.662354,14.426381"
Aequi,"42.125,12.875"
Aequiculi,"42.186832,13.19543"
Aequinoctium,"48.117896,16.614782"
Aequum,"43.739278,16.655704"
Aequum Tuticum,"41.152484,15.087531"
Aere,"33.071101,36.185274"
